customer_id,first_name,last_name,email,country,account_type,account_created_at,customer_status
CUST000001,Danielle,Johnson,john21@example.net,JP,CHECKING,2026-04-15 20:44:23,ACTIVE
CUST000002,Christopher,Henderson,davisjesse@example.net,SG,SAVINGS,2021-11-15 21:55:43,ACTIVE
CUST000003,Anna,Baldwin,lrobinson@example.com,IT,CHECKING,2021-09-14 15:50:45,ACTIVE
CUST000004,Katherine,Moore,jpeterson@example.org,JP,BUSINESS,2024-07-06 05:34:19,CLOSED
CUST000005,Curtis,James,melanie94@example.org,DE,BUSINESS,2025-07-22 20:27:54,SUSPENDED
CUST000006,Amanda,Dudley,smiller@example.net,FR,CHECKING,2024-09-22 00:43:31,ACTIVE
CUST000007,Barbara,Bush,stanleykendra@example.org,IT,CHECKING,2023-08-18 17:24:35,CLOSED
CUST000008,Michelle,James,xreid@example.org,AU,CHECKING,2024-10-18 13:57:24,CLOSED
CUST000009,Michael,Santiago,lynchgeorge@example.net,IT,BUSINESS,2023-09-25 01:41:20,CLOSED
CUST000010,Frank,Gray,gabriellecameron@example.org,GB,CHECKING,2023-08-07 02:19:31,SUSPENDED
CUST000011,Lydia,Trujillo,nadams@example.net,AU,SAVINGS,2024-04-29 03:20:49,ACTIVE
CUST000012,Jason,Porter,ithomas@example.org,AE,CHECKING,2026-06-04 13:54:19,SUSPENDED
CUST000013,Amber,Burgess,zhurst@example.com,BE,SAVINGS,2023-07-07 21:00:15,ACTIVE
CUST000014,Wendy,Taylor,ddavis@example.org,IT,SAVINGS,2022-12-13 07:56:17,ACTIVE
CUST000015,Courtney,Conner,ycarlson@example.com,DE,SAVINGS,2025-08-18 15:35:32,ACTIVE
CUST000016,Allison,Maddox,frazierdanny@example.net,BE,SAVINGS,2023-12-02 11:11:28,CLOSED
CUST000017,Kayla,Peterson,ryan70@example.net,NL,CHECKING,2023-11-21 18:58:26,SUSPENDED
CUST000018,Teresa,Gill,harrellkenneth@example.net,CA,CHECKING,2025-12-19 17:21:05,SUSPENDED
CUST000019,Chelsea,Hernandez,amberosborne@example.net,DE,BUSINESS,2021-08-27 05:54:25,ACTIVE
CUST000020,Carol,Burns,hickmannatasha@example.com,IN,BUSINESS,2023-09-08 10:07:19,CLOSED
CUST000021,Brian,Humphrey,,PK,SAVINGS,2026-03-07 12:42:50,CLOSED
CUST000022,Katie,Anderson,karroyo@example.com,IT,BUSINESS,2026-02-19 21:28:20,ACTIVE
CUST000023,Monique,Henderson,sarahcampos@example.net,FR,BUSINESS,2023-05-12 10:10:25,ACTIVE
CUST000024,Jennifer,Ross,samuel87@example.org,AE,SAVINGS,2023-10-04 16:26:45,ACTIVE
CUST000025,Jeffrey,Morgan,briannasmith@example.net,IN,CHECKING,2022-02-24 09:12:34,ACTIVE
CUST000026,Jeremy,Whitehead,chad34@example.net,GB,SAVINGS,2025-10-11 14:23:30,SUSPENDED
CUST000027,Jason,Anderson,esanchez@example.com,JP,SAVINGS,2023-04-09 01:15:21,ACTIVE
CUST000028,Clinton,Hopkins,rodney70@example.net,BE,SAVINGS,2022-06-27 05:49:54,ACTIVE
CUST000029,Bruce,Chandler,wrightjames@example.com,JP,SAVINGS,2022-11-04 00:00:47,ACTIVE
CUST000030,Robert,Ramirez,nancyjones@example.net,AU,BUSINESS,2022-06-25 15:52:02,ACTIVE
CUST000031,Brent,Kidd,novaksara@example.org,CA,BUSINESS,2023-01-24 04:19:06,ACTIVE
CUST000032,Richard,Olson,kbarrera@example.com,ES,SAVINGS,2021-09-01 03:58:46,SUSPENDED
CUST000033,Tricia,Baker,smitchell@example.net,NL,BUSINESS,2026-05-18 04:21:11,CLOSED
CUST000034,Dorothy,Tucker,kennethnovak@example.net,IT,BUSINESS,2026-04-06 00:16:05,ACTIVE
CUST000035,Bruce,Edwards,silvawesley@example.net,IN,CHECKING,2022-12-27 14:17:54,ACTIVE
CUST000036,Brian,Romero,caseyjones@example.org,IN,CHECKING,2025-01-30 22:57:02,ACTIVE
CUST000037,David,Zamora,bethwilliams@example.org,GB,SAVINGS,2025-03-19 22:56:18,ACTIVE
CUST000038,Diane,Cunningham,sarah35@example.org,IT,BUSINESS,2023-11-28 16:55:01,ACTIVE
